longitude,latitude,feature_code,current,contested,cluster_id,segment
35.15015,50.36862,PPL,CONTESTED,1,2,Cluster 3
31.366670000000003,47.36667,PPL,UA,2,3,Cluster 4
37.1903,46.9667,PPL,RU,4,0,Cluster 1
37.27446,46.96098,PPL,RU,4,0,Cluster 1
36.90982,49.5254,PPL,RU,7,0,Cluster 1
36.53333,47.63333,PPL,CONTESTED,20,0,Cluster 1
30.21667,50.55,PPL,RU,5,2,Cluster 3
36.32577,47.72854,PPL,CONTESTED,20,0,Cluster 1
34.88115,47.571059999999996,PPL,RU,1,3,Cluster 4
29.52365,50.38476,PPL,UA,22,1,Cluster 2
35.029090000000004,50.2849,PPL,CONTESTED,25,1,Cluster 2
35.405640000000005,47.23237,PPL,RU,4,3,Cluster 4
32.28484,51.84667,PPL,RU,20,1,Cluster 2
39.550129999999996,49.70653,PPL,RU,5,0,Cluster 1
30.4898,50.584759999999996,PPLA2,UA,7,2,Cluster 3
29.923470000000002,50.4574,PPL,UA,22,1,Cluster 2
35.16256,50.26181,PPL,CONTESTED,25,1,Cluster 2
30.60251,50.51137,PPLX,UA,1,2,Cluster 3
35.238859999999995,47.079190000000004,PPL,RU,3,3,Cluster 4
31.53333,47.63333,PPL,UA,7,3,Cluster 4
31.33602,47.56218,PPLA2,UA,7,3,Cluster 4
36.08024,47.7527,PPL,CONTESTED,21,0,Cluster 1
37.515029999999996,48.30365,PPL,CONTESTED,1,0,Cluster 1
31.71384,46.97034,PPL,UA,6,3,Cluster 4
36.51667,47.31667,PPL,RU,1,3,Cluster 4
35.83333,47.2,PPL,RU,1,3,Cluster 4
36.06667,47.45,PPL,RU,1,3,Cluster 4
32.112840000000006,47.660470000000004,PPL,UA,2,3,Cluster 4
32.14542,47.01334,PPL,UA,6,3,Cluster 4
36.64403,47.954609999999995,PPL,UA,2,3,Cluster 4
34.061370000000004,51.42863,PPL,CONTESTED,25,1,Cluster 2
30.15305,50.5444,PPL,RU,3,2,Cluster 3
30.03333,51.08333,PPL,RU,4,2,Cluster 3
35.628659999999996,47.309979999999996,PPL,RU,1,3,Cluster 4
32.07575,47.2816,PPL,RU,5,3,Cluster 4
36.54524,47.92827,PPL,UA,2,3,Cluster 4
31.41348,47.65591,PPL,UA,2,3,Cluster 4
30.99075,47.35325,PPL,UA,2,3,Cluster 4
31.586370000000002,50.682759999999995,PPL,RU,5,2,Cluster 3
33.45944,51.77572,PPL,CONTESTED,25,1,Cluster 2
37.7276,49.83201,PPL,RU,15,0,Cluster 1
32.46553,51.62708,PPL,CONTESTED,25,1,Cluster 2
36.79801,49.25643,PPL,RU,7,0,Cluster 1
33.180690000000006,50.59948,PPL,CONTESTED,25,1,Cluster 2
